"Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"Patterns","FirstName1","HouseholdName1","MidName1","NameDesignator1","NamePrefix1","NameSuffix1","Surname1","Title1","Parse"
"LASTNAME FIRSTNAME SUFFIX TITLE","LASTNAME[0]","","","","","SUFFIX[2]","FIRSTNAME[1]","TITLE[3]","Parsed"
"FIRSTNAME LN_ID FIRSTNAME SYMBOL FIRSTNAME","FIRSTNAME[0]","","","","","","LN_ID[1] FIRSTNAME[2] SYMBOL[3] FIRSTNAME[4]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME LN_ID SUFFIX","FIRSTNAME[1]","","FIRSTNAME[2]","","PREFIX[0]","SUFFIX[4]","LN_ID[3]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME SYMBOL LASTNAME","FIRSTNAME[1]","","","","PREFIX[0]","","FIRSTNAME[2] SYMBOL[3] LASTNAME[4]","","Parsed"
"PREFIX WORD LASTNAME INIT FIRSTNAME","WORD[1] LASTNAME[2]","","INIT[3]","","PREFIX[0]","","FIRSTNAME[4]","","Parsed"
"WORD INIT LN_ID","WORD[0]","","INIT[1]","","","","LN_ID[2]","","Parsed"
"PREFIX WORD LASTNAME LASTNAME SUFFIX TITLE","WORD[1]","","","","PREFIX[0]","SUFFIX[4]","LASTNAME[2] LASTNAME[3]","TITLE[5]","Parsed"
"PREFIX FIRSTNAME LN_ID SUFFIX","FIRSTNAME[1]","","","","PREFIX[0]","SUFFIX[3]","LN_ID[2]","","Parsed"
"SUFFIX FIRSTNAME INIT LN_ID FIRSTNAME","FIRSTNAME[1]","","INIT[2]","","","SUFFIX[0]","LN_ID[3] FIRSTNAME[4]","","Parsed"
"FIRSTNAME INIT FIRSTNAME SUFFIX WORD FIRSTNAME","FIRSTNAME[0]","","INIT[1]","","","SUFFIX[3]","FIRSTNAME[2]","","Parsed"
"PREFIX WORD PREFIX FIRSTNAME SUFFIX TITLE","WORD[1]","","PREFIX[2]","","PREFIX[0]","SUFFIX[4]","FIRSTNAME[3]","TITLE[5]","Parsed"
"LN_ID LASTNAME LASTNAME FIRSTNAME FIRSTNAME LASTNAME","FIRSTNAME[4] LASTNAME[5]","","LN_ID[0] LASTNAME[1] LASTNAME[2]","","","","LN_ID[0] LASTNAME[1]","","Parsed"
"PREFIX FIRSTNAME INIT FIRSTNAME SYMBOL","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","FIRSTNAME[3]","","Parsed"
"LASTNAME WORD SYMBOL FIRSTNAME","LASTNAME[0]","","","","","","WORD[1] SYMBOL[2] FIRSTNAME[3]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME INIT LN_ID","FIRSTNAME[1] FIRSTNAME[2]","","INIT[3]","","PREFIX[0]","","LN_ID[4]","","Parsed"
"LASTNAME FIRSTNAME FIRSTNAME LN_ID","LASTNAME[0]","","FIRSTNAME[1] FIRSTNAME[2]","","","","LN_ID[3]","","Parsed"
"FIRSTNAME LASTNAME CONNECT HOUSEHOLD HOUSEHOLD","FIRSTNAME[0]","HOUSEHOLD[3] HOUSEHOLD[4]","","","","","LASTNAME[1]","","Parsed"
"PREFIX FIRSTNAME LASTNAME WORD SUFFIX TITLE","FIRSTNAME[1]","","","","PREFIX[0]","SUFFIX[4]","LASTNAME[2] WORD[3]","TITLE[5]","Parsed"
"FIRSTNAME FIRSTNAME SYMBOL FIRSTNAME LASTNAME","FIRSTNAME[0]","","FIRSTNAME[1] SYMBOL[2] FIRSTNAME[3]","","","","LASTNAME[4]","","Parsed"
"WORD INIT LASTNAME FIRSTNAME","WORD[0]","","INIT[1]","","","","LASTNAME[2] FIRSTNAME[3]","","Parsed"
"PREFIX FIRSTNAME INIT FIRSTNAME SYMBOL FIRSTNAME","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","FIRSTNAME[3] SYMBOL[4] FIRSTNAME[5]","","Parsed"
"PREFIX FIRSTNAME INIT LASTNAME LN_ID FIRSTNAME","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","LASTNAME[3] LN_ID[4] FIRSTNAME[5]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME FIRSTNAME LN_ID","FIRSTNAME[1]","","FIRSTNAME[2] FIRSTNAME[3]","","PREFIX[0]","","LN_ID[4]","","Parsed"
"FIRSTNAME FIRSTNAME WORD LASTNAME FIRSTNAME","FIRSTNAME[0]","","FIRSTNAME[1] WORD[2] LASTNAME[3]","","","","FIRSTNAME[4]","","Parsed"
"FIRSTNAME SYMBOL WORD INIT FIRSTNAME","FIRSTNAME[0] SYMBOL[1] WORD[2]","","INIT[3]","","","","FIRSTNAME[4]","","Parsed"
"FIRSTNAME INIT LASTNAME SUFFIX FIRSTNAME WORD","FIRSTNAME[0]","","INIT[1]","","","SUFFIX[3]","LASTNAME[2]","","Parsed"
"FIRSTNAME INIT LASTNAME SYMBOL INIT SYMBOL LASTNAME","FIRSTNAME[0]","","INIT[1]","","","","LASTNAME[2] SYMBOL[3] INIT[4] SYMBOL[5] LASTNAME[6]","","Parsed"
"PREFIX FIRSTNAME FIRSTNAME FIRSTNAME LASTNAME LASTNAME","FIRSTNAME[1]","","FIRSTNAME[2] FIRSTNAME[3] LASTNAME[4]","","PREFIX[0]","","LASTNAME[5]","","Parsed"
"DESIGNATOR FIRSTNAME INIT LASTNAME","FIRSTNAME[1]","","INIT[2]","DESIGNATOR[0]","","","LASTNAME[3]","","Parsed"
"PREFIX FIRSTNAME LASTNAME LASTNAME SUFFIX","FIRSTNAME[1]","","","","PREFIX[0]","SUFFIX[4]","LASTNAME[2] LASTNAME[3]","","Parsed"
"LASTNAME WORD SYMBOL WORD","LASTNAME[0]","","","","","","WORD[1] SYMBOL[2] WORD[3]","","Parsed"
"FIRSTNAME FIRSTNAME INIT FIRSTNAME LASTNAME","FIRSTNAME[0] FIRSTNAME[1]","","INIT[2]","","","","FIRSTNAME[3] LASTNAME[4]","","Parsed"
"PREFIX WORD WORD WORDSYMBOL","WORD[1]","","WORD[2]","","PREFIX[0]","","WORDSYMBOL[3]","","Parsed"
"PREFIX FIRSTNAME INIT WORD LASTNAME LASTNAME","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","WORD[3] LASTNAME[4] LASTNAME[5]","","Parsed"
"FIRSTNAME INIT INIT WORD SYMBOL FIRSTNAME","FIRSTNAME[0]","","INIT[1] INIT[2]","","","","WORD[3] SYMBOL[4] FIRSTNAME[5]","","Parsed"
"PREFIX FIRSTNAME LN_ID FIRSTNAME WORD","FIRSTNAME[1]","","","","PREFIX[0]","","LN_ID[2] FIRSTNAME[3] WORD[4]","","Parsed"
"FIRSTNAME LASTNAME WORD SUFFIX TITLE","FIRSTNAME[0]","","","","","SUFFIX[3]","LASTNAME[1] WORD[2]","TITLE[4]","Parsed"
"PREFIX WORD PREFIX LN_ID LASTNAME TITLE","WORD[1]","","PREFIX[2]","","PREFIX[0]","","LN_ID[3] LASTNAME[4]","TITLE[5]","Parsed"
"FIRSTNAME FIRSTNAME FIRSTNAME LN_ID LASTNAME FIRSTNAME","FIRSTNAME[0]","","FIRSTNAME[1] FIRSTNAME[2]","","","","LN_ID[3] LASTNAME[4] FIRSTNAME[5]","","Parsed"
"PREFIX LN_ID SYMBOL FIRSTNAME WORD","LN_ID[1] SYMBOL[2] FIRSTNAME[3]","","","","PREFIX[0]","","WORD[4]","","Parsed"
"FIRSTNAME FIRSTNAME PREFIX LASTNAME LN_ID","FIRSTNAME[0]","","","","","","FIRSTNAME[1]","","Parsed"
"LASTNAME LN_ID FIRSTNAME","LASTNAME[0]","","","","","","LN_ID[1] FIRSTNAME[2]","","Parsed"
"FIRSTNAME FIRSTNAME INIT SYMBOL LASTNAME","FIRSTNAME[0]","","FIRSTNAME[1]","","","","INIT[2] SYMBOL[3] LASTNAME[4]","","Parsed"
"PREFIX FIRSTNAME LASTNAME LASTNAME WORD","FIRSTNAME[1]","","LASTNAME[2] LASTNAME[3]","","PREFIX[0]","","WORD[4]","","Parsed"
"PREFIX FIRSTNAME INIT INIT SYMBOL LASTNAME","FIRSTNAME[1]","","INIT[2]","","PREFIX[0]","","INIT[3] SYMBOL[4] LASTNAME[5]","","Parsed"
"FIRSTNAME INIT LASTNAME SYMBOL LN_ID LASTNAME","FIRSTNAME[0]","","INIT[1]","","","","LASTNAME[2] SYMBOL[3] LN_ID[4] LASTNAME[5]","","Parsed"
"FIRSTNAME FIRSTNAME LASTNAME LN_ID LASTNAME","FIRSTNAME[0]","","FIRSTNAME[1] LASTNAME[2]","","","","LN_ID[3] LASTNAME[4]","","Parsed"
"PREFIX FIRSTNAME LASTNAME TITLE","FIRSTNAME[1]","","","","PREFIX[0]","","LASTNAME[2]","TITLE[3]","Parsed"
"LASTNAME WORD SUFFIX","LASTNAME[0]","","","","","SUFFIX[2]","WORD[1]","","Parsed"
