"column1","column2","Column 3","Column 4","Column 5"
"FFSI","First Financial Services Inc","","",""
"FMC","Fraser Milner Casgrain LLP","","",""
"FMS","Forbes Mortgage Corp","","",""
"FNMA","Federal National Mortgage Association","","",""
"FPD","American Flat Glass Industries Ltd","","",""
"FPL","Florida Power & Light Co","","",""
"FSCC","Franciscan Sisters Of Christian Charity Healthcare Ministry Inc","","",""
"FSI","FLIR Systems Inc","","",""
"FSTQ","Fonds De Solidarit?? Des Travailleurs Du Qu??bec FTQ","","",""
"FTMC","Fisher - Titus Medical Center","","",""
"FWISD","Fort Worth Independent School District Inc","","",""
"FXCM","Forex Capital Markets LLC","","",""
"G C I","General Communication Inc","","",""
"G F I","Global Fishing Inc","","",""
"G I A","Gemological Institute Of America Inc","","",""
"GAASI","General Atomics Aeronautical Systems Inc","","",""
"GAMCO","General Aluminum Manufacturing Co Inc","","",""
"GATX","GATX Corp","","",""
"GBU","Greater Beneficial Union Of Pittsburgh","","",""
"GCS","Guilford County School System","","",""
"GCSAP","General Chemical Soda Ash Partners","","",""
"GE","General Electric International Inc","","",""
"GECU","Government Employees Credit Union Of El Paso","","",""
"GEHA","Government Employees Health Association Inc","","",""
"GEICO","Government Employees Insurance Co","","",""
"GHA","Group Health Associates","","",""
"GHI","Group Health Inc","","",""
"GIS","General Information Services Inc","","",""
"GIV","General Injectables & Vaccines Inc","","",""
"GM","General Motors Corp","","",""
"GMMB","Greer Margolis Mitchell Burns","","",""
"GNC","General Nutrition Inc","","",""
"GNET","Goodman Networks Inc","","",""
"GPI","Greenman-Pedersen Inc","","",""
"GRDA","Grand River Dam Authority","","",""
"GRE","Grand River Enterprises Six Nations Ltd","","",""
"GSK","GlaxoSmithKline Inc","","",""
"GSS","Government Scientific Source Inc","","",""
"GTA","GTA North America","","",""
"GTC","Georgia Transmission Corp","","",""
"GTE","General Telephone and Electronics Corp","","",""
"HAD","Home Design Alternatives Inc","","",""
"HBMS","Hudson Bay Mining And Smelting Co Ltd","","",""
"HCI","Hunt Consolidated Inc","","",""
"HGA","Hammel Green And Abrahamson Inc","","",""
"HGTV","Home & Garden Television","","",""
"HIROC","Healthcare Insurance Reciprocal Of Canada","","",""
"HMSA","Hawaii Medical Service Association","","",""
"HNE","Health New England Inc","","",""
"HP","Hewlett-Packard Co","","",""
"HPG","HealthTrust Purchasing Group","","",""
"HPS","Hospital Purchasing Service Of Michigan","","",""
"ANERA","American Near East Refugee Aid","","",""
"ANICA","Alaska Native Industries Cooperative Association Inc","","",""
"ANICO","American National Insurance Co","","",""
"ANS","Acetylene Oxygen Co","","",""
"ANSER","Analytic Services Inc","","",""
"ANTEX","American National Life Insurance Co Of Texas","","",""
"AOC","Aoc LLC","","",""
"AOL","America Online LLC","","",""
"AOW","Advanced Offc Environments Inc","","",""
"APB","Apb Inc","","",""
"APCC","APC - MGE","","",""
"APCGM","Association De Parents Du Centre Gabrielle Major","","",""
"APCHQ","Association Provinciale Des Constructeurs D'Habitations Du Que Inc","","",""
"APCO","Automobile Protection Corp","","",""
"APEA","American Public Energy Agency Inc","","",""
"APEC","American Pan & Engineering Co Inc","","",""
"APHA","American Pharmacists Association","","",""
"API","Advance Polybag Inc","","",""
"APS","America's Powersports Inc","","",""
"APSS","Asset Protection & Security Services LP","","",""
"APSU","Austin Peay State University","","",""
"APT","Automation Precision Technology LLC","","",""
"APTA","American Physical Therapy Association","","",""
"APU","American Public University","","",""
"ARCO","Atlantic Richfield Co Inc","","",""
"ARP","Automotive Racing Products Inc","","",""
"ARS","American Residential Services LLC","","",""
"ARTCO","American River Transportation Co Inc","","",""
"ARUESD","Alum Rock Union Elementary School District","","",""
"ASA","Audiovox Specialized Applications LLC","","",""
"ASA","Automotive Supply Associates Inc","","",""
"ASAI","Action Stainless & Alloys Inc","","",""
"ASB","Agri Services Of Brunswick LLC","","",""
"ASC","Air System Components Inc","","",""
"ASCD","Association For Supervision & Curriculum Development","","",""
"ASCP","American Society Of Clinical Pathology","","",""
"ASD","Advanced Systems Development Inc","","",""
"ASEE","American Society For Engineering Educatn Inc","","",""
"ASEQ","Alliance Pour La Sant?? ??tudiante Au Quebec Inc","","",""
"ASG","Allen Systems Group Inc","","",""
"ASI","Advertising Specialty Institute Inc","","",""
"ASIG","Aircraft Service International Group Inc","","",""
"ASME","American Society Of Mechanical Engineers Inc","","",""
"ASPCA","ASPCA","","",""
"ASSMCA","Administracion De Servicios De Salud Mental Y Contra La Adiccion","","",""
"ASTD","American Society For Training And Development Inc","","",""
"ASU","Arizona State University","","",""
"AT&T","AT&T Inc","","",""
"ATC","Accu-Tech Corp","","",""
"ATC","Aftermarket Technology Corp","","",""
"ATCC","American Type Culture Collection Inc","","",""
"ATCS","American Trademark Construction Services Inc","","",""
"ATDF","Advanced Technology Development Facility Inc","","",""
"ATI","Advanced Technology Institute","","",""
"ATIF","Attorneys' Title Insurance Fund Inc","","",""
"ATP","Aero Transportation Products Inc","","",""
"ATPCO","Airline Tariff Publishing Co","","",""
"ATR","Atr International Inc","","",""
"ATS","American Technology Services","","",""
"ATSI","Applied Technology Systems Inc","","",""
"AUI","Associated Universities Inc","","",""
"AVON","Avon International Operations Inc","","",""
"AVRMC","Arkansas Valley Regional Medical Center","","",""
"AVX","Avx Tantalum Corp","","",""
