"ValidValue","Synonym","Column 3","Column 4","Column 5"
"Ltd.","Limited","","",""
"Ltd.","Ltd","","",""
"Ltd.","Ltd.","","",""
"Ltee","Limitee","","",""
"Ltee","Limite??","","",""
"Ltee","Limit??","","",""
"Ltee","Ltee","","",""
"Ltee","Lt??e","","",""
"Machinant","Machinant","","",""
"Mgmt","Managem","","",""
"Mgmt","Manageme","","",""
"Mgmt","Managemen","","",""
"Mgmt","Management","","",""
"Mgmt","Managment","","",""
"Mgmt","Mgmt","","",""
"Mkt","March??","","",""
"Mkt","Market","","",""
"Mkt","Mkt","","",""
"Mkts","March??s","","",""
"Mkts","Markets","","",""
"Mkts","Mkts","","",""
"Mortgages","Mortgage","","",""
"Mortgages","Mortgages","","",""
"N.A.","N.A.","","",""
"N.A.","NA","","",""
"Partner","Partner","","",""
"Partners","Partners","","",""
"Partnership","Partnership","","",""
"Phar","Phar","","",""
"Phar","Pharmac","","",""
"Phar","Pharmaceut","","",""
"Phar","Pharmaceut.","","",""
"Phar","Pharmaceutical","","",""
"Phar","Pharmaceuticals","","",""
"Phar","Pharmaceutique","","",""
"Phar","Pharmaceutiques","","",""
"Phar","Pharmacs","","",""
"Plc.","Plc","","",""
"Plc.","Plc.","","",""
"Plc.","Public Limited Company","","",""
"Plc.","Soci??t?? ?? Responsabilit?? Limit??e Publique","","",""
"Pr0perties","Pr0perties","","",""
"Pr0perties","Propri??t??s","","",""
"Property","Property","","",""
"Property","Propri??t??","","",""
"R&d","R&d","","",""
"R&d","Recherche Et D??veloppement","","",""
"R&d","Research & Development","","",""
"R&d","Research And Development","","",""
"Research","Research","","",""
"Research Unit","Research Unit","","",""
"Researchers","Researchers","","",""
"Retail","Retail","","",""
"Retailers","Retailers","","",""
"SRL","SRL,","","",""
"SRL","Sociedad de Responsabilidad Limitada","","",""
"SRL","Societate cu R??spundere Limitat??","","",""
"Sa","Sa","","",""
"Sa","Soci??t?? Anonyme","","",""
"Sarl","Sarl","","",""
"Sarl","Soci??t?? ?? Responsabilit?? Limit??e","","",""
"Sc","Sc","","",""
"Sc","Soci??t?? Civile","","",""
"Scs","Scs","","",""
"Scs","Soci??t?? En Commandite","","",""
"Se Tenant","Possessions","","",""
"Se Tenant","Se Tenant","","",""
"Shp","Magasin","","",""
"Shp","Shop","","",""
"Shp","Shp","","",""
"Snc","Snc","","",""
"Snc","Soci??t?? En Nom Collectif","","",""
"Soin","Soin","","",""
"Solutions","Solutions","","",""
"Son","Son","","",""
"Sons","Sons","","",""
"Sp","Soci??t?? En Participation","","",""
"Sp","Sp","","",""
"Sponsorisez","Sponsorisez","","",""
"Strtgc","Strategic","","",""
"Strtgc","Strat??gique","","",""
"Strtgc","Strtgc","","",""
"Strtgc","Strtgic","","",""
"Svc.","Service","","",""
"Svc.","Srvc","","",""
"Svc.","Svc","","",""
"Svc.","Svc.","","",""
"Svcs.","Services","","",""
"Svcs.","Srvcs","","",""
"Svcs.","Svcs","","",""
"Svcs.","Svcs.","","",""
"Technologie","Technologie","","",""
"The Company Store","The Co Store","","",""
"The Company Store","The Co. Store","","",""
"The Company Store","The Company Store","","",""
"Trst","Trst","","",""
"Trst","Trsts","","",""
"Trst","Trus","","",""
"Trst","Trust","","",""
"Unit?? De Recherches","Unit?? De Recherches","","",""
"Univ","Uni","","",""
"Univ","Univ","","",""
"Univ","University","","",""
"Univ","Universit??","","",""
"Univ","Univs.","","",""
"Ut","Unit","","",""
"Ut","Unit??","","",""
"Ut","Ut","","",""
"Venture","Venture","","",""
"Ventures","Ventures","","",""
"SRL","SRL","","",""
"SRL","S.R.L.","","",""
"SRL","Societ?? a Responsabilit?? Limitata","","",""
"SRL","Sociedad de Responsabilidad Limitada","","",""
"Bar & Grill","Bar and Grill","","",""
"Bar & Grill","Bar & Grill","","",""
"& Assoc.","& Assoc","","",""
"& Assoc.","& Assoc.","","",""
"& Assoc.","& Associate","","",""
"& Assoc.","&assoc","","",""
"& Assoc.","&assoc.","","",""
"& Assoc.","&associate","","",""
"& Assoc.","Et Associ??","","",""
"& Assocs.","& Ass","","",""
"& Assocs.","& Ass.","","",""
"& Assocs.","& Associates","","",""
"& Assocs.","& Assocs","","",""
"& Assocs.","& Assocs.","","",""
"& Assocs.","&ass","","",""
"& Assocs.","&associates","","",""
