"Column 1","Column 2","Column 3","Column 4","Column 5"
"DIMITRY","DIMITRY","","",""
"DINA","DINA","","",""
"DINAH","PAM","","",""
"DINESH","DINESH","","",""
"DINO","DINO","","",""
"DINORA","DINORA","","",""
"DINORAH","DINORAH","","",""
"DIOGENES","DIOGENES","","",""
"DIOMEDES","DIOMEDES","","",""
"DIONA","DIONA","","",""
"DIONE","DIONE","","",""
"DIONICIA","DIONICIA","","",""
"DIONICIO","DIONICIO","","",""
"DIONISIA","DIONISIA","","",""
"DIONISIO","DIONISIO","","",""
"DIONNA","DIONNA","","",""
"DIONNE","DIONNE","","",""
"DIOSDADO","DIOSDADO","","",""
"DIPAK","DIPAK","","",""
"DIPTI","DIPTI","","",""
"DIRK","DIRK","","",""
"DIVA","DIVA","","",""
"DIVINA","DIVINA","","",""
"DIXIE","DIXIE","","",""
"DJ","DJ","","",""
"DJUANA","DJUANA","","",""
"DMITRI","DMITRI","","",""
"DMITRIY","DMITRIY","","",""
"DMITRY","DMITRY","","",""
"DMYTRO","DMYTRO","","",""
"DOANLD","DOANLD","","",""
"DOC","DOC","","",""
"DOCK","DOCK","","",""
"DODI","DODI","","",""
"DODIE","DODIE","","",""
"DOLA","DOLA","","",""
"DOLLIE","DOLLIE","","",""
"DOLLY","DOLLY","","",""
"DOLORES","DOLORES","","",""
"DOLORIS","DOLORIS","","",""
"DOLPHUS","DOLPHUS","","",""
"DOM","DOM","","",""
"DOMENIC","DOMENIC","","",""
"DOMENICA","DOMENICA","","",""
"DOMENICK","DOMENICK","","",""
"DOMENICO","DOMENICO","","",""
"DOMINADOR","DOMINADOR","","",""
"DOMINGA","DOMINGA","","",""
"DOMINGO","DOMINGO","","",""
"DOMINGOS","DOMINGOS","","",""
"DOMINIC","DOMINIC","","",""
"DOMINICA","DOMINICA","","",""
"DOMINICK","DOMINICK","","",""
"DOMINICO","DOMINICO","","",""
"DOMINIK","DOMINIK","","",""
"DOMINIQUE","DOMINIQUE","","",""
"DOMITILA","DOMITILA","","",""
"DOMONIC","DOMONIC","","",""
"DON","DON","","",""
"DONA","DONA","","",""
"DONACIANO","DONACIANO","","",""
"DONAL","DONAL","","",""
"DONALD","DONALD","","",""
"DONALDO","DONALDO","","",""
"DONALEE","DONALEE","","",""
"DONALYN","DONALYN","","",""
"DONATA","DONATA","","",""
"DONAVAN","DONAVAN","","",""
"DONAVON","DONAVON","","",""
"DONDI","DONDI","","",""
"DONDRA","DONDRA","","",""
"DONEL","DONEL","","",""
"DONELDA","DONELDA","","",""
"DONELL","DONELL","","",""
"DONELLA","DONELLA","","",""
"DONELLE","DONELLE","","",""
"DONETTA","DONETTA","","",""
"DONETTE","DONETTE","","",""
"DONG","DONG","","",""
"DONI","DONI","","",""
"DONIA","DONIA","","",""
"DONICE","DONICE","","",""
"DONIE","DONIE","","",""
"DONITA","DONITA","","",""
"DONLAD","DONLAD","","",""
"DONN","DONN","","",""
"DONNA","DONNA","","",""
"DONNALEE","DONNALEE","","",""
"DONNAMARIE","DONNAMARIE","","",""
"DONNA-MARIE","DONNA-MARIE","","",""
"DONNE","DONNE","","",""
"DONNEL","DONNEL","","",""
"DONNETTA","DONNETTA","","",""
"DONNETTE","DONNETTE","","",""
"DONNIE","DONNIE","","",""
"DONNIS","DONNIS","","",""
"DONNITA","DONNITA","","",""
"DONNY","DONNY","","",""
"DONOVAN","DONOVAN","","",""
"DONTE","DONTE","","",""
"DONYA","DONYA","","",""
"HARLYN","HARLYN","","",""
"DONZELL","DONZELL","","",""
"DORA","DORA","","",""
"DORAINE","DORAINE","","",""
"DORAL","DORAL","","",""
"DORALEE","DORALEE","","",""
"DORANN","DORANN","","",""
"DORATHEA","DORATHEA","","",""
"DORATHY","DORATHY","","",""
"DORCAS","DORCAS","","",""
"DOREATHA","DOREATHA","","",""
"DOREE","DOREE","","",""
"DOREEN","DOREEN","","",""
"DOREENE","DOREENE","","",""
"DOREL","DOREL","","",""
"DORENA","DORENA","","",""
"DORENDA","DORENDA","","",""
"DORENE","DORENE","","",""
"DORETHA","DORETHA","","",""
"DORETHEA","DORETHEA","","",""
"DORETTA","DORETTA","","",""
"DORETTE","DORETTE","","",""
"DORI","DORI","","",""
"DORIAN","DORIAN","","",""
"DORICE","DORICE","","",""
"DORIE","DORIE","","",""
"DORINA","DORINA","","",""
"DORINDA","DORINDA","","",""
"DORINE","DORINE","","",""
"DORIS","DORIS","","",""
"DORISE","DORISE","","",""
"DORIT","DORIT","","",""
"DORITA","DORITA","","",""
"DORLA","DORLA","","",""
"DORLENE","DORLENE","","",""
"DORMA","DORMA","","",""
