"Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13","Column 14","Column 15","Column 16","Column 17","Column 18","Column 19","Column 20","Column 21","Column 22","Column 23","Column 24","Column 25","Column 26","Column 27","Column 28","Column 29"
"Aaron","Aaren","Aron","Arron","","","","","","","","","","","","","","","","","","","","","","","","",""
"Abigail","Abby","Abbie","Abbi","Abbey","Abigayle","","","","","","","","","","","","","","","","","","","","","","",""
"Abraham","Abe","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albert","Bert","Burt","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adolf","Adolph","Dolph","Dolf","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adrian","Adriann","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adriana","Adria","Adrianna","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Agnes","Aggie","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aidan","Aden","Aiden","Aydan","Ayden","","","","","","","","","","","","","","","","","","","","","","","",""
"Alan","Allen","Allan","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alana","Alanis","Alanna","Alannah","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alberta","Berta","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfred","Alfie","Alf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alfreda","Freda","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alison","Allison","Allyson","Allie","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aliya","Alea","Aliyah","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Allana","Allannah","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Almira","Elmira","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Louis","Lou","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alphonzo","Alfonso","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alvena","Alvi","Alvy","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alvin","Alwyn","Elvin","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amelia","Emelia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amy","Ami","Ammi","Aimee","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andre","Deandre","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Andrew","Andy","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angel","Angelo","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angela","Angelia","Angelina","Angie","Angelle","Ange","","","","","","","","","","","","","","","","","","","","","","",""
"Anne","Ann","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Anthony","Antony","Tony","Toni","","","","","","","","","","","","","","","","","","","","","","","","",""
"Archibald","Archie","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arthur","Art","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ashley","Ashlea","Ashlee","Aahleigh","Ashlie","","","","","","","","","","","","","","","","","","","","","","","",""
"Ashlyn","Ashlynn","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aubrey","Aubrie","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Augusta","Augie","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Augustus","August","Augustine","Angus","Gus","Gussie","","","","","","","","","","","","","","","","","","","","","","",""
"Austin","Austen","Austyn","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bailey","Bailee","Baylee","Bay","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbara","Babs","Babette","Barb","Barbie","Barbarella","","","","","","","","","","","","","","","","","","","","","","",""
"Bartholomew","Bart","Batt","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belinda","Bindy","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Benjamin","Ben","Benj","Benji","Benjy","Benny","BJ","","","","","","","","","","","","","","","","","","","","","",""
"Bernard","","","Bernie","Bernt","","","","","","","","","","","","","","","","","","","","","","","",""
"Bertha","","","Berta","","","","","","","","","","","","","","","","","","","","","","","","",""
"Beverly","Beverley","Bev","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bradley","Brad","Bradford","Bradly","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brenton","Brent","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brett","Bret","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brian","Brion","","Bryan","Bryant","Bryon","Brien","","","","","","","","","","","","","","","","","","","","","",""
"Briana","Brianna","Brianne","Bryana","Bryanna","Bryanne","Breana","Breann","Breanne","Breanna","","","","","","","","","","","","","","","","","","",""
"Brice","Bryson","Bryce","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bridget","Bridey","Bridgette","","Brigit","","","","","","","","","","","","","","","","","","","","","","","",""
"Brittany","Britney","Britani","Brittania","Brittny","Brittney","Britt","Brit","","","","","","","","","","","","","","","","","","","","",""
"Brody","Brodie","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brook","Brooke","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bud","Buddy","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Caitlin","Caetlin","Caitlyn","Kaitlin","Kaitlyn","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameron","Cam","Camron","Camryn","Kamryn","","","","","","","","","","","","","","","","","","","","","","","",""
"Candace","Candi","Candice","Candy","Candyce","","","","","","","","","","","","","","","","","","","","","","","",""
"Carly","Carlie","Carlene","Carla","Carley","Carleigh","","","","","","","","","","","","","","","","","","","","","","",""
"Carlisle","Carlyle","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Caroline","","Caro","Carlyn","Carol","Carola","Carolina","Carolyn","Caryl","","","","","","","","","","","","","","","","","","","",""
"Carrie","Carry","Cari","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cassandra","Cass","Cassia","Cassie","","","","","","","","","","","","","","","","","","","","","","","","",""
"Catherine","Cath","Katherine","Kat","Catharine","Cathy","Cathrin","Cathleen","Cath","Cat","","","","","","","","","","","","","","","","","","",""
"Cecilia","Cecelia","Cecily","Celia","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chadwick","Chad","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chantal","Chantel","Chantelle","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Charissa","Carissa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Charles","Chuck","Charlie","Charley","Charli","Chas","Chaz","","","","","","","","","","","","","","","","","","","","","",""
"Chelsea","Chelsie","Chelsey","Chelsi","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chester","Chet","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Christopher","Christoph","Topher","Chris","","","","","","","","","","","","","","","","","","","","","","","","",""
"Claire","Clair","Clare","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Matilda","Tillie","Mathilda","Tilda","Tillie","Tilly","","","","","","","","","","","","","","","","","","","","","","",""
"Maurice","Maury","Moritz","Morris","Mo","","","","","","","","","","","","","","","","","","","","","","","",""
"Michelle","Chelle","Michele","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mildred","Millie","Milly","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nellie","Nelly","Nelie","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oliver","Ollie","Oli","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Olivia","Alivia","Liv","Livia","Livvy","Libby","","","","","","","","","","","","","","","","","","","","","","",""
"Patricia","Pat","Patsy","Patty","Pattie","Trish","Trisha","Tricia","Patti","","","","","","","","","","","","","","","","","","","",""
"Rebecca","Becca","Becci","Becka","Beckah","Becky","Bekki","","","","","","","","","","","","","","","","","","","","","",""
"Richard","Rich","Richy","Dick","Richie","Richie","Rick","","","","","","","","","","","","","","","","","","","","","",""
"Robert","Bob","Bobby","Rob","Robbie","Robby","","","","","","","","","","","","","","","","","","","","","","",""
"Russell","Russ","Russel","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samuel","Sam","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sarah","Sara","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Susan","Sue","Susanna","Susannah","Sukie","Sanna","Susie","Susi","Suzie","","","","","","","","","","","","","","","","","","","",""
"Theresa","Teresa","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Theodore","Ted","Theo","","Teddy","Teo","","","","","","","","","","","","","","","","","","","","","","",""
"Thomas","Tom","Tommy","Tomy","Tommie","Tomie","Tomas","","","","","","","","","","","","","","","","","","","","","",""
"Virginia","Ginger","Ginny","Jinny","Gini","Ginnie","","","","","","","","","","","","","","","","","","","","","","",""
"William","Willard","Will","Willy","Bill","Billy","WM","Liam","","","","","","","","","","","","","","","","","","","","",""
