"column1","column2","column3","column4","column5","column6","column7","column8","column9"
"PHYSICAL THERAPY","PHYSICAL THERAPY","","","","","","",""
"PERSONAL TRAINER","PERSONAL TRAINER","","","","","","",""
"DANCE","DANCE","","","","","","",""
"DANCING","DANCING","","","","","","",""
"PEDIATRIC","PEDIATRIC","","","","","","",""
"GERIATRIC","GERIATRIC","","","","","","",""
"SOFTWARE","SOFTWARE","","","","","","",""
"SOLDIER","SOLDIER","","","","","","",""
"SPECIALIST","SPECIALIST","","","","","","",""
"STATE OFFICIAL","STATE OFFICIAL","","","","","","",""
"STATESMAN","STATESMAN","","","","","","",""
"STATIONER","STATIONER","","","","","","",""
"STOCKBROKER","STOCKBROKER","","","","","","",""
"STOREKEEPER","STOREKEEPER","","","","","","",""
"STOREMAN","STOREMAN","","","","","","",""
"STUDENT","STUDENT","","","","","","",""
"STYLIST","STYLIST","","","","","","",""
"SURGEON","SURGEON","","","","","","",""
"SURVEYOR","SURVEYOR","","","","","","",""
"TAILER","TAILER","","","","","","",""
"TEACHER","TEACHER","","","","","","",""
"TECHNICAL","TECHNICAL","","","","","","",""
"TECHNICIAN","TECHNICIAN","","","","","","",""
"TECHNOLOGIST","TECHNOLOGIST","","","","","","",""
"TELEPHONE OPERATOR","TELEPHONE OPERATOR","","","","","","",""
"TELEPHONIST","TELEPHONIST","","","","","","",""
"TELEMARKETER","TELEMARKETER","","","","","","",""
"THERAPIST","THERAPIST","","","","","","",""
"TOWN OFFICIAL","TOWN OFFICIAL","","","","","","",""
"TRADESMAN","TRADESMAN","","","","","","",""
"TRAINER","TRAINER","TRAINING","","","","","",""
"TRUCK DRIVER","TRUCK DRIVER","","","","","","",""
"TRUSTEE","TRUSTEE","","","","","","",""
"UNDERWRITER","UNDERWRITER","","","","","","",""
"UNEMPLOYED","UNEMPLOYED","","","","","","",""
"UPHOLSTERER","UPHOLSTERER","","","","","","",""
"UROLOGIST","UROLOGIST","","","","","","",""
"VETERINARIAN","VETERINARIAN","","","","","","",""
"VP","VP","VICE PRESIDENT","VICE PRES","","","","",""
"WAITER","WAITER","","","","","","",""
"WHOLESALER","WHOLESALER","","","","","","",""
"WIDOW","WIDOW","","","","","","",""
"WIDOWER","WIDOWER","","","","","","",""
"WORKER","WORKER","","","","","","",""
"WRITER","WRITER","NOVELIST","","","","","",""
"CEO","CEO","CEO.","CHIEF EXECUTIVE OFFICER","","","","",""
"QUALITY MANAGER","QUAL MGR","QUAL. MGR.","","","","","",""
"GENERAL MANAGER","GEN MGR","GEN. MGR.","GENERAL MGR","GENERAL MGR.","","","",""
"MANAGING PARTNER","MANAGING PARTNER","","","","","","",""
"SALES MANAGER","SALES MANAGER","SALES MGR","SALES MGR.","SLS MGR","SLS. MGR.","","",""
"SERVICE MANAGER","SERVICE MANAGER","SERVICE MGR","SERVICE MGR.","SVC MGR","SVC. MGR.","","",""
"TREASURER","TREASURER","TREAS","TREAS.","","","","",""
"SALES","SALES","SLS","","","","","",""
"MGR","MGR","MGR.","MANAGER","MANAGER","","","",""
"DOCTOR","DOCTOR","DR","DR.","DRS","DRS.","DR'S","DR.'S",""
"CHIEF FINANCIAL OFFICER","CHIEF FINANCIAL OFFICER","CFO","CFO.","C.F.O.","","","",""
"LANDSCAPING","LANDSCAPING","","","","","","",""
"LANDSCAPER","LANDSCAPER","","","","","","",""
"SECURITIES","SECURITIES","","","","","","",""
"SECURITY","SECURITY","","","","","","",""
"REAL ESTATE","REAL ESTATE","","","","","","",""
"ACCOUNTANT","ACCOUNTANT","","","","","","",""
"ACCOUNTS","ACCOUNTS","","","","","","",""
"ACCOUNTS CLERK","ACCOUNTS CLERK","","","","","","",""
"ACTOR","ACTOR","","","","","","",""
"ACTRESS","ACTRESS","","","","","","",""
"ADVERTISER","ADVERTISER","","","","","","",""
"ADMINISTRATOR","ADMINISTRATOR","ADMIN","ADMIN.","","","","",""
"AGENT","AGENT","","","","","","",""
"AGRICULTURIST","AGRICULTURIST","","","","","","",""
"AIRFORCE OFFICER","AIRFORCE OFFICER","","","","","","",""
"ALLERGIST","ALLERGIST","","","","","","",""
"ARCHEOLOGIST","ARCHEOLOGIST","","","","","","",""
"ARCHITECT","ARCHITECT","","","","","","",""
"ARMY OFFICER","ARMY OFFICER","","","","","","",""
"ARTISAN","ARTISAN","","","","","","",""
"ARTIST","ARTIST","","","","","","",""
"ASSEMBLER","ASSEMBLER","","","","","","",""
"AUCTIONEER","AUCTIONEER","","","","","","",""
"AUDIOLOGIST","AUDIOLOGIST","","","","","","",""
"AUDITOR","AUDITOR","","","","","","",""
"BAKER","BAKER","","","","","","",""
"BANK OFFICIAL","BANK OFFICIAL","","","","","","",""
"BARBER","BARBER","","","","","","",""
"BARMAN","BARMAN","","","","","","",""
"BARTENDER","BARTENDER","","","","","","",""
"BEAUTICIAN","BEAUTICIAN","","","","","","",""
"BIOCHEMIST","BIOCHEMIST","","","","","","",""
"BIOLOGIST","BIOLOGIST","","","","","","",""
"BLACKSMITH","BLACKSMITH","","","","","","",""
"BOOKBINDER","BOOKBINDER","","","","","","",""
"BOOKKEEPER","BOOKKEEPER","","","","","","",""
"BOOKSELLER","BOOKSELLER","","","","","","",""
"BOTTLER","BOTTLER","","","","","","",""
"BREEDER","BREEDER","","","","","","",""
"BROADCASTER","BROADCASTER","","","","","","",""
"BROKER","BROKER","","","","","","",""
"BROKERS","BROKERS","","","","","","",""
"BUCCANEER","BUCCANEER","","","","","","",""
"BUILDER","BUILDER","","","","","","",""
"BURSAR","BURSAR","","","","","","",""
"BUS DRIVER","BUS DRIVER","","","","","","",""
"BUSINESSMAN","BUSINESSMAN","","","","","","",""
"BUTCHER","BUTCHER","","","","","","",""
"BUTLER","BUTLER","","","","","","",""
"BUYER","BUYER","","","","","","",""
"CABINETMAKER","CABINETMAKER","","","","","","",""
"CALLIGRAPHER","CALLIGRAPHER","","","","","","",""
"CANTOR","CANTOR","","","","","","",""
"CARDIOLOGIST","CARDIOLOGIST","","","","","","",""
"CARPENTER","CARPENTER","","","","","","",""
"CASHIER","CASHIER","","","","","","",""
"CATERER","CATERER","","","","","","",""
"CHAUFFEUR","CHAUFFEUR","","","","","","",""
"CHEF","CHEF","","","","","","",""
"CHEMIST","CHEMIST","","","","","","",""
"CHIROPRACTOR","CHIROPRACTOR","","","","","","",""
"CITY OFFICIAL","CITY OFFICIAL","","","","","","",""
"CIVIL SERVANT","CIVIL SERVANT","","","","","","",""
"CLEANER","CLEANER","","","","","","",""
"CLERICAL OFFICER","CLERICAL OFFICER","","","","","","",""
"CLERK","CLERK","","","","","","",""
"CLOTHIER","CLOTHIER","","","","","","",""
"COIFFEUR","COIFFEUR","","","","","","",""
"COMPUTER OPERATOR","COMPUTER OPERATOR","","","","","","",""
"COMPUTER PROGRAMMER","COMPUTER PROGRAMMER","","","","","","",""
"CONDUCTOR","CONDUCTOR","","","","","","",""
"CONSOLIDATOR","CONSOLIDATOR","","","","","","",""
"CONSTRUCTOR","CONSTRUCTOR","","","","","","",""
"CONSULTANT","CONSULTANT","","","","","","",""
"CONTRACTOR","CONTRACTOR","","","","","","",""
"CONTROLLER","CONTROLLER","","","","","","",""
